  last_name  | last_name_count 
-------------+-----------------
 KILMER      |               5
 NOLTE       |               4
 TEMPLE      |               4
 AKROYD      |               3
 ALLEN       |               3
 BERRY       |               3
 DAVIS       |               3
 DEGENERES   |               3
 GARLAND     |               3
 GUINESS     |               3
 HARRIS      |               3
 HOFFMAN     |               3
 HOPKINS     |               3
 JOHANSSON   |               3
 KEITEL      |               3
 PECK        |               3
 TORN        |               3
 WILLIAMS    |               3
 WILLIS      |               3
 ZELLWEGER   |               3
 BAILEY      |               2
 BENING      |               2
 BOLGER      |               2
 BRODY       |               2
 CAGE        |               2
 CHASE       |               2
 CRAWFORD    |               2
 CRONYN      |               2
 DEAN        |               2
 DEE         |               2
 DENCH       |               2
 DEPP        |               2
 DUKAKIS     |               2
 FAWCETT     |               2
 GOODING     |               2
 HACKMAN     |               2
 HOPPER      |               2
 JACKMAN     |               2
 MCCONAUGHEY |               2
 MCKELLEN    |               2
 MCQUEEN     |               2
 MONROE      |               2
 MOSTEL      |               2
 NEESON      |               2
 OLIVIER     |               2
 PALTROW     |               2
 PENN        |               2
 SILVERSTONE |               2
 STREEP      |               2
 TANDY       |               2
 TRACY       |               2
 WAHLBERG    |               2
 WEST        |               2
 WINSLET     |               2
 WOOD        |               2
(55 rows)

